utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
12/07/2016 4:43,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
08/06/2016 15:16,402267,6,0.8756,3,5,0.0389,71,7,0.065,60,,,,,,,,,,,,,,,
16/03/2016 13:48,402264,0,0,0,17,0.12,65,8,0.1,65,,,,,,,,,,,,,,,
13/07/2016 6:56,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
12/07/2016 3:45,402264,2,0.01,109,1,0.01,78,2,0.01,65,,,,,,,,,,,,,,,
03/01/2016 12:32,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10/08/2016 7:33,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
16/02/2016 22:13,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
09/05/2016 14:51,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16/03/2016 6:39,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
26/05/2016 2:07,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17/03/2016 2:16,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
11/08/2016 22:59,402260,4,0.0178,78,6,0.035,71,4,0.0422,71,,,,,,,,,,,,,,,
20/01/2016 3:01,402267,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
26/05/2016 2:37,402264,5,0.03,90,3,0.04,65,6,0.11,65,,,,,,,,,,,,,,,
18/06/2016 23:46,402270,11,0.0694,71,8,0.04,71,7,0.05,65,2,0.01,71,,,,,,,,,,,,
16/03/2016 13:28,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16/03/2016 15:35,402264,0,0,0,12,0.0694,71,7,0.09,65,,,,,,,,,,,,,,,
